iter	RMSE
0	60.90705053
1	58.92933931
2	57.10897425
3	55.43648573
4	53.72985066
5	52.1585772
6	50.58650876
7	48.89301249
8	47.35178629
9	45.87488931
10	44.52039362
11	43.28271332
12	41.9968689
13	40.67051291
14	39.52895785
15	38.34680796
16	37.12483611
17	35.95652317
18	35.03035697
19	34.04287703
20	33.0352111
21	32.10699058
22	31.2746614
23	30.31748279
24	29.37723233
25	28.57711922
26	27.79367209
27	26.99371597
28	26.21075674
29	25.4226845
30	24.77663542
31	24.10918551
32	23.45562158
33	22.7973477
34	22.27689195
35	21.7295584
36	21.17674824
37	20.61884032
38	20.13025843
39	19.67993045
40	19.18442453
41	18.76777622
42	18.37424483
43	17.93496029
44	17.50699934
45	17.07046189
46	16.66758882
47	16.29668314
48	15.88723641
49	15.54222014
50	15.21488344
51	14.93858711
52	14.65351038
53	14.36808022
54	14.029048
55	13.71378061
56	13.42301323
57	13.11231501
58	12.81251215
59	12.53496049
60	12.29373815
61	12.01253705
62	11.78804372
63	11.62014094
64	11.3658406
65	11.11434632
66	10.87733102
67	10.65312057
68	10.47988808
69	10.26304328
70	10.08541074
71	9.906661855
72	9.712727304
73	9.560179492
74	9.430079988
75	9.234654302
76	9.11869135
77	9.001507206
78	8.826360675
79	8.64906708
80	8.518449527
81	8.352645833
82	8.243045644
83	8.088571065
84	7.957162011
85	7.820637172
86	7.683577611
87	7.537424747
88	7.442487258
89	7.347870442
90	7.235907815
91	7.11620716
92	7.009551856
93	6.937157929
94	6.854927074
95	6.748989066
96	6.666619825
97	6.568087616
98	6.492686033
99	6.402840223
100	6.308318564
101	6.232515808
102	6.175063047
103	6.080643473
104	6.01957232
105	5.94773845
106	5.910942356
107	5.827833294
108	5.770078828
109	5.714543349
110	5.686391749
111	5.634047379
112	5.564875571
113	5.535403047
114	5.51012778
115	5.465792833
116	5.425941287
117	5.385904928
118	5.311693542
119	5.271617641
120	5.229128086
121	5.166544024
122	5.130209107
123	5.074044394
124	5.013957074
125	4.968974886
126	4.946064724
127	4.894698234
128	4.861274969
129	4.828694688
130	4.801440439
131	4.784552851
132	4.733935832
133	4.703006846
134	4.673497541
135	4.654266832
136	4.624836975
137	4.60146237
138	4.588577557
139	4.565180571
140	4.541299712
141	4.514678515
142	4.461384496
143	4.442952164
144	4.425858423
145	4.371877963
146	4.339049583
147	4.307751321
148	4.261566906
149	4.250131476
150	4.220301425
151	4.20541804
152	4.158324465
153	4.145701184
154	4.120951822
155	4.076076857
156	4.040120132
157	4.01026825
158	3.971226001
159	3.949257474
160	3.939715754
161	3.916285413
162	3.902883401
163	3.886722029
164	3.862355544
165	3.82295504
166	3.799962659
167	3.786505501
168	3.771993737
169	3.749118338
170	3.711961663
171	3.676831852
172	3.638239797
173	3.604700142
174	3.597689179
175	3.563500361
176	3.537267318
177	3.528018308
178	3.509583547
179	3.488994866
180	3.482156751
181	3.471580423
182	3.460187989
183	3.444369394
184	3.432885366
185	3.419324479
186	3.404623656
187	3.37827793
188	3.34502658
189	3.335585855
190	3.30935556
191	3.303129994
192	3.274585829
193	3.265532192
194	3.254501981
195	3.246589203
196	3.241377973
197	3.217628508
198	3.197647393
199	3.186453288
200	3.162392484
201	3.140219877
202	3.135008139
203	3.120334026
204	3.113565528
205	3.104155374
206	3.088865593
207	3.060692058
208	3.051184411
209	3.035432244
210	3.010676683
211	3.004408616
212	2.986177801
213	2.976229209
214	2.967650016
215	2.962998746
216	2.957902051
217	2.948517829
218	2.93281309
219	2.928379598
220	2.908756871
221	2.903669981
222	2.878798024
223	2.873237159
224	2.848545341
225	2.828599513
226	2.822024653
227	2.798405089
228	2.795158194
229	2.782333877
230	2.761832699
231	2.75444487
232	2.741283083
233	2.734222185
234	2.72707803
235	2.712259961
236	2.705129465
237	2.701814888
238	2.695097801
239	2.683777378
240	2.68061335
241	2.673635844
242	2.670734809
243	2.652744924
244	2.638226319
245	2.629130423
246	2.60938683
247	2.593285716
248	2.581545552
249	2.568282226
250	2.549962474
251	2.53828394
252	2.528651044
253	2.522721708
254	2.513872272
255	2.50516715
256	2.495562735
257	2.483713049
258	2.478093464
259	2.467141275
260	2.459833796
261	2.451534478
262	2.432061845
263	2.429627808
264	2.413598245
265	2.411494423
266	2.406314359
267	2.391782861
268	2.389743525
269	2.373935086
270	2.358902898
271	2.350430712
272	2.337308951
273	2.328582644
274	2.320932073
275	2.316271739
276	2.30885601
277	2.298568762
278	2.289299023
279	2.276215153
280	2.268374427
281	2.257058475
282	2.251652812
283	2.246102697
284	2.241996497
285	2.236183292
286	2.227608854
287	2.216380943
288	2.212284533
289	2.209153422
290	2.206965977
291	2.198745646
292	2.1908835
293	2.182672216
294	2.179796403
295	2.173460029
296	2.169321933
297	2.167087576
298	2.159101474
299	2.154187028
300	2.147057885
301	2.143547063
302	2.141562291
303	2.128948675
304	2.117892546
305	2.112428077
306	2.106454973
307	2.100010693
308	2.095571159
309	2.088248706
310	2.080729334
311	2.076032088
312	2.065180053
313	2.06278656
314	2.056232447
315	2.052631003
316	2.051520363
317	2.044856891
318	2.038081917
319	2.035192007
320	2.033068292
321	2.027159903
322	2.023522213
323	2.016751268
324	2.006535359
325	2.005490037
326	1.99981368
327	1.992524303
328	1.985559057
329	1.976877423
330	1.970685756
331	1.969004212
332	1.963773453
333	1.961194999
334	1.95516228
335	1.954180013
336	1.947905256
337	1.944550107
338	1.939176082
339	1.937400706
340	1.929461421
341	1.928546971
342	1.921091862
343	1.916632157
344	1.910253719
345	1.905419655
346	1.897459747
347	1.896585729
348	1.890633247
349	1.880018099
350	1.879173106
351	1.87839413
352	1.875824148
353	1.869654736
354	1.86890927
355	1.863933678
356	1.861090972
357	1.85644493
358	1.851999339
359	1.851278495
360	1.848944243
361	1.843464789
362	1.839687989
363	1.8390039
364	1.833738217
365	1.827220125
366	1.824624024
367	1.822708005
368	1.817720859
369	1.812923171
370	1.805905926
371	1.802047067
372	1.798565307
373	1.79378676
374	1.791637572
375	1.78889632
376	1.783567303
377	1.779071321
378	1.774743667
379	1.76804438
380	1.766960401
381	1.766329191
382	1.763238382
383	1.760478664
384	1.75430467
385	1.753289592
386	1.751483245
387	1.746000367
388	1.741392257
389	1.740807707
390	1.738763058
391	1.736046132
392	1.730518457
393	1.727737581
394	1.723464392
395	1.718982423
396	1.713036671
397	1.710502015
398	1.708227443
399	1.705525993
400	1.703003066
401	1.694882838
402	1.689909002
403	1.685469154
404	1.682882092
405	1.680356748
406	1.675979832
407	1.673584595
408	1.665604883
409	1.660305886
410	1.655842154
411	1.6517627
412	1.648380943
413	1.645902511
414	1.643518107
415	1.638690036
416	1.634824649
417	1.630278527
418	1.628222861
419	1.623929703
420	1.620183306
421	1.616546254
422	1.612177746
423	1.607364025
424	1.601208546
425	1.598720909
426	1.593857321
427	1.587020249
428	1.583616795
429	1.57734672
430	1.574255483
431	1.569342357
432	1.567478222
433	1.563733573
434	1.560658892
435	1.556915237
436	1.555009797
437	1.551258902
438	1.54651736
439	1.543716926
440	1.540511186
441	1.538535865
442	1.535369098
443	1.533835691
444	1.532631457
445	1.530592
446	1.528653547
447	1.52744178
448	1.523077713
449	1.521423722
450	1.51718908
451	1.512673075
452	1.509789211
453	1.506525749
454	1.501880559
455	1.497666652
456	1.495709699
457	1.49265414
458	1.489637785
459	1.486114099
460	1.482804174
461	1.479199402
462	1.476356201
463	1.473487171
464	1.468480943
465	1.46598405
466	1.462403577
467	1.459160238
468	1.456265456
469	1.454145889
470	1.4508607
471	1.447575541
472	1.445923805
473	1.443455188
474	1.440873286
475	1.440480262
476	1.440097116
477	1.439721709
478	1.437657864
479	1.433773426
480	1.429567194
481	1.42696233
482	1.423600541
483	1.420738846
484	1.416946266
485	1.414228302
486	1.412393819
487	1.408646752
488	1.403374126
489	1.403020143
490	1.400799438
491	1.397857262
492	1.397509723
493	1.393531032
494	1.393188808
495	1.390853039
496	1.388452934
497	1.386379176
498	1.383300488
499	1.381209505
500	1.378762975
501	1.377090195
502	1.374292686
503	1.372847557
504	1.370402124
505	1.367552309
506	1.367150235
507	1.364635875
508	1.364329099
509	1.362735133
510	1.360139774
511	1.357641116
512	1.357347223
513	1.355809208
514	1.353807678
515	1.35128635
516	1.350931638
517	1.348116846
518	1.346682528
519	1.344904459
520	1.340781619
521	1.340508264
522	1.337100462
523	1.333930585
524	1.331930435
525	1.329553033
526	1.326229035
527	1.324144475
528	1.321247157
529	1.318372359
530	1.316736089
531	1.315129666
532	1.312518242
533	1.310376949
534	1.307720153
535	1.304177988
536	1.301515125
537	1.299122588
538	1.29581996
539	1.292538479
540	1.289997799
541	1.28891969
542	1.284908794
543	1.282817646
544	1.280689337
545	1.279011564
546	1.278644723
547	1.276126286
548	1.27432548
549	1.272095347
550	1.269894327
551	1.2679942
552	1.265440875
553	1.263468495
554	1.261524907
555	1.258864029
556	1.257279779
557	1.255283123
558	1.254137461
559	1.251256974
560	1.248576083
561	1.246187253
562	1.24311639
563	1.241628353
564	1.239676337
565	1.238192007
566	1.236191583
567	1.234622341
568	1.231916969
569	1.229860062
570	1.228093075
571	1.225324255
572	1.223801693
573	1.222061759
574	1.220478701
575	1.220037905
576	1.218620295
577	1.217462397
578	1.215060419
579	1.213951382
580	1.211982435
581	1.210085347
582	1.206825982
583	1.204916467
584	1.202960366
585	1.201590874
586	1.198320355
587	1.19575556
588	1.193117299
589	1.191400027
590	1.188855091
591	1.186409421
592	1.184075413
593	1.1820704
594	1.179307915
595	1.1769751
596	1.174355789
597	1.17315496
598	1.171576696
599	1.170328136
600	1.168754727
601	1.167292373
602	1.165695943
603	1.165006055
604	1.163133994
605	1.162518788
606	1.160398577
607	1.157718491
608	1.154601558
609	1.152204505
610	1.151158525
611	1.149062285
612	1.147766014
613	1.14758354
614	1.145844112
615	1.144344043
616	1.142670848
617	1.139558667
618	1.138322369
619	1.136196493
620	1.133888788
621	1.132888083
622	1.132271757
623	1.12991196
624	1.126397584
625	1.12418053
626	1.12265077
627	1.120403962
628	1.117493293
629	1.115702068
630	1.114101402
631	1.112528372
632	1.110792763
633	1.110168676
634	1.107428424
635	1.106778978
636	1.10517686
637	1.103447257
638	1.102215181
639	1.101044011
640	1.099104997
641	1.097461011
642	1.094741052
643	1.094201405
644	1.092764563
645	1.090980825
646	1.089733215
647	1.087889693
648	1.085624905
649	1.084086205
650	1.082049071
651	1.080232158
652	1.07988783
653	1.078178239
654	1.077569315
655	1.075225911
656	1.073631276
657	1.071794797
658	1.070819554
659	1.069229298
660	1.067594509
661	1.064964314
662	1.063998009
663	1.062685884
664	1.061121577
665	1.059639265
666	1.057117036
667	1.055831359
668	1.05418225
669	1.051993523
670	1.051243475
671	1.04932875
672	1.047534421
673	1.046714978
674	1.045283265
675	1.044801125
676	1.043399248
677	1.042330034
678	1.040056518
679	1.038884624
680	1.037178814
681	1.035126835
682	1.033354139
683	1.031774226
684	1.030456568
685	1.028072967
686	1.026902074
687	1.024330464
688	1.023554866
689	1.022217438
690	1.020497149
691	1.019171088
692	1.017537501
693	1.015720206
694	1.013390661
695	1.012001709
696	1.010070717
697	1.008110768
698	1.007163504
699	1.00524017
700	1.003955435
701	1.002444025
702	1.001703023
703	1.000942995
704	0.9998427076
705	0.9991172407
706	0.9986924177
707	0.9965837589
708	0.996191598
709	0.9946702076
710	0.9940393124
711	0.9924011736
712	0.9907397453
713	0.9889858631
714	0.9881391321
715	0.9862062481
716	0.9852751142
717	0.9844522395
718	0.9835823842
719	0.9820403647
720	0.9799832146
721	0.9785396757
722	0.9774341865
723	0.9761221153
724	0.974965376
725	0.9741235912
726	0.9720695123
727	0.9702966199
728	0.9696521138
729	0.96813692
730	0.9676329153
731	0.9658964201
732	0.9646895507
733	0.963812033
734	0.9631293957
735	0.9627853466
736	0.9620164708
737	0.9601036817
738	0.9582947068
739	0.9577729793
740	0.9574084505
741	0.9568898337
742	0.9557277435
743	0.9542504999
744	0.9530864734
745	0.9526400121
746	0.9517745416
747	0.9508466194
748	0.9494229596
749	0.9485638152
750	0.9467455799
751	0.945317287
752	0.9445774682
753	0.9429393137
754	0.9415934667
755	0.939610364
756	0.9385054212
757	0.9377622401
758	0.9363222122
759	0.9349496029
760	0.9345134762
761	0.9333325811
762	0.9316348582
763	0.9301308743
764	0.9288955027
765	0.9283350169
766	0.9276255088
767	0.927246991
768	0.9254895779
769	0.9237443731
770	0.9217834018
771	0.9206349387
772	0.9201870705
773	0.9197242767
774	0.9188378395
775	0.9184139285
776	0.9180614297
777	0.9172923767
778	0.916288688
779	0.9155538222
780	0.9150587723
781	0.9142268292
782	0.9133519861
783	0.9123565389
784	0.9113142858
785	0.9106928266
786	0.9095085463
787	0.9090952829
788	0.9079707154
789	0.9070656534
790	0.9058812762
791	0.9055286114
792	0.9044029193
793	0.9029336249
794	0.9025427733
795	0.901079319
796	0.9000536807
797	0.8992410099
798	0.8983353709
799	0.8976757194
800	0.8973892347
801	0.8966996715
802	0.8959724944
803	0.8954615024
804	0.8942206889
805	0.893250027
806	0.8915862543
807	0.8909173907
808	0.890318697
809	0.8892818836
810	0.8883626968
811	0.8874553854
812	0.8871036114
813	0.8864645737
814	0.8849683825
815	0.8841422405
816	0.8837050191
817	0.8829817825
818	0.8821250629
819	0.8815493992
820	0.8804370323
821	0.8792287927
822	0.8785352092
823	0.8781885095
824	0.8771733733
825	0.8756390235
826	0.8745371146
827	0.8732872676
828	0.8715353821
829	0.8704265139
830	0.8693055484
831	0.868540182
832	0.8673601422
833	0.8664842012
834	0.8654328152
835	0.8640377606
836	0.8637450453
837	0.8633096995
838	0.8629890739
839	0.8618595673
840	0.8606962926
841	0.8602281913
842	0.8587460653
843	0.8582183185
844	0.8571397906
845	0.8560170548
846	0.8551739545
847	0.8546936757
848	0.8536808232
849	0.8533436886
850	0.852546278
851	0.8520770145
852	0.8517659166
